 A(*, *)
 matr[           4 ,            7 ] =                (205.14483667026812,0.0000000000000000)
 matr[           4 ,            8 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           4 ,            9 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           4 ,           10 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           4 ,           11 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           4 ,           12 ] =                (5.0000000000000000,0.0000000000000000)
 matr[           4 ,           13 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           4 ,           14 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           4 ,           15 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           4 ,           16 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           4 ,           17 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           4 ,           18 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           4 ,           19 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           4 ,           20 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           4 ,           21 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           4 ,           22 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           4 ,           23 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           4 ,           24 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           4 ,           25 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           4 ,           26 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           4 ,           27 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           4 ,           28 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           4 ,           29 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           4 ,           30 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           4 ,           31 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           4 ,           32 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           4 ,           33 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           4 ,           34 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           4 ,           35 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           4 ,           36 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           4 ,           37 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           4 ,           38 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           4 ,           39 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           4 ,           40 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           5 ,            1 ] =               (-205.14483667026812,0.0000000000000000)
 matr[           5 ,            2 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           5 ,            3 ] =                (205.14483667026812,0.0000000000000000)
 matr[           5 ,            4 ] =               (-205.14483667026812,0.0000000000000000)
 matr[           5 ,            5 ] =               (-214.39874279733354,0.0000000000000000)
 matr[           5 ,            6 ] =                (4.2539061270654210,0.0000000000000000)
 matr[           5 ,            7 ] =                (744638.71707311890,0.0000000000000000)
 matr[           5 ,            8 ] =               (-205.14483667026812,0.0000000000000000)
 matr[           5 ,            9 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           5 ,           10 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           5 ,           11 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           5 ,           12 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           5 ,           13 ] =                (5.0000000000000000,0.0000000000000000)
 matr[           5 ,           14 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           5 ,           15 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           5 ,           16 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           5 ,           17 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           5 ,           18 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           5 ,           19 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           5 ,           20 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           5 ,           21 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           5 ,           22 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           5 ,           23 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           5 ,           24 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           5 ,           25 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           5 ,           26 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           5 ,           27 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           5 ,           28 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           5 ,           29 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           5 ,           30 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           5 ,           31 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           5 ,           32 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           5 ,           33 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           5 ,           34 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           5 ,           35 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           5 ,           36 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           5 ,           37 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           5 ,           38 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           5 ,           39 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           5 ,           40 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           6 ,            1 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           6 ,            2 ] =               (-205.14483667026812,0.0000000000000000)
 matr[           6 ,            3 ] =                (205.14483667026812,0.0000000000000000)
 matr[           6 ,            4 ] =               (-205.14483667026812,0.0000000000000000)
 matr[           6 ,            5 ] =                (4.2539061270654210,0.0000000000000000)
 matr[           6 ,            6 ] =               (-214.39874279733354,0.0000000000000000)
 matr[           6 ,            7 ] =                (744638.71707311890,0.0000000000000000)
 matr[           6 ,            8 ] =               (-205.14483667026812,0.0000000000000000)
 matr[           6 ,            9 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           6 ,           10 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           6 ,           11 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           6 ,           12 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           6 ,           13 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           6 ,           14 ] =                (5.0000000000000000,0.0000000000000000)
 matr[           6 ,           15 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           6 ,           16 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           6 ,           17 ] =                (0.0000000000000000,0.0000000000000000)
